Fees,School,County,Sat2015,Uni2015,Progression,UCD,TCD,DCU,UL,Maynooth,NUIG,UCC,St Angelas,QUB,UU,Blanch.IT,NatColIrl,Dublin.IT,Tallaght.IT,Athlone.IT,Cork.IT,Dundalk.IT,GM.IT,IADT,Carlow.IT,Sligo.IT,Tralee.IT,Letterkenny.IT,Limerick.IT,W.IT,Marino,CoICollEd,MaryI,NCAD,RCSI,SCHM
No,"St Leo's College, Dublin Road, Carlow",Carlow,134,135,1.007462687,5,15,12,6,17,4,4,1,0,0,0,0,4,0,3,1,0,1,2,34,0,2,0,1,22,0,0,0,0,1,0
No,"Coláiste Eoin, Hacketstown, Co. Carlow",Carlow,28,25,0.892857143,2,0,3,2,0,4,0,0,0,0,1,1,0,0,0,0,0,0,2,7,0,0,0,0,3,0,0,0,0,0,0
No,"St. Mary's Knockbeg College, Knockbeg, Carlow",Carlow,49,43,0.87755102,5,1,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,1,6,1,0,0,0,0,0
No,"Gaelcholáiste Cheatharlach, Easca, Co. Ceatharlach",Carlow,57,50,0.877192982,5,5,6,1,10,1,1,0,0,0,0,0,2,0,0,0,0,0,2,8,0,0,0,0,5,1,0,0,2,1,0
No,"St. Mary's Academy CBS, Railway Road, Carlow",Carlow,72,62,0.861111111,1,2,4,1,8,4,0,0,0,0,0,1,2,0,0,0,1,0,0,33,0,0,0,0,4,0,0,0,1,0,0
No,"Presentation De La Salle Coll, Muine Bheag, Co Ceatharlach",Carlow,39,29,0.743589744,4,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,5,0,0,0,0,0,0
No,"Borris Vocational School, Borris, Co. Carlow",Carlow,74,55,0.743243243,6,0,7,4,6,1,0,0,0,0,0,0,2,0,1,0,1,1,0,10,0,0,0,0,16,0,0,0,0,0,0
No,"Presentation College, Carlow",Carlow,85,51,0.6,2,1,2,0,3,2,2,1,0,1,0,0,2,0,0,0,0,3,1,22,0,0,0,1,7,0,0,0,1,0,0
No,"Community School, The MullBGn, Tullow, Carlow",Carlow,122,71,0.581967213,2,1,6,2,7,2,2,0,0,0,1,0,5,0,0,1,0,0,2,25,1,0,0,0,12,1,0,1,0,0,0
No,"Muinebheag Vocational School, Muinebheag, Co. Carlow",Carlow,11,5,0.454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0
